whois_regDate,whois_expDate,number_of.,url_length,number_of_digits,number_of_special_charac,number_of-,number_of//,number_of/,number_of@,HTTP_check,number_of_protocols,number_of_subdomains,IP_in_url,number_of_.com,Port_in_URL,number_of_www,short_URL
3833,184,1,21,0,0,0,1,3,0,0,1,0,0,1,0,0,1
7687,1809,1,18,0,0,0,1,3,0,0,1,0,0,1,0,0,0
-1,-1,2,19,0,0,0,1,3,0,0,1,0,0,0,0,1,0
6929,375,1,27,0,0,0,1,3,0,0,1,0,0,1,0,0,1
9308,2014,2,21,0,0,0,1,3,0,0,1,0,0,1,0,1,0
6152,1152,2,22,1,0,0,1,3,0,0,1,0,0,1,0,1,0
9223,370,2,27,0,0,0,1,3,0,0,1,0,0,1,0,1,0
10137,453,1,19,0,0,0,1,3,0,0,1,0,0,1,0,0,0
7190,114,1,22,0,0,0,1,3,0,0,1,0,0,1,0,0,0
7349,2511,2,21,0,0,0,1,3,0,0,1,0,0,1,0,1,0
11029,294,2,24,0,0,0,1,3,0,0,1,1,0,1,0,0,0
7766,269,2,226,21,2,0,1,5,0,0,1,1,0,1,0,0,0
9075,786,2,24,0,0,0,1,3,0,0,1,0,0,1,0,1,0
7880,1982,2,31,0,0,1,1,3,0,0,1,0,0,1,0,1,0
3361,291,1,25,0,0,0,1,3,0,0,1,0,0,1,0,0,0
